,day,time,user,hub name,playlist name,playlist id,description,image url,length,type,Unnamed: 10
54,2022-04-14,10:00:00,male user,Featured Charts,Top 50 Global,,,,,playlist,
55,2022-04-14,10:00:00,male user,Featured Charts,Top 50 Netherlands,,,,,playlist,
56,2022-04-14,10:00:00,male user,Featured Charts,Viral 50 Global,,,,,playlist,
57,2022-04-14,10:00:00,male user,Featured Charts,Viral 50 Netherlands,,,,,playlist,
58,2022-04-14,10:00:00,male user,Featured Charts,,,,,,album,
59,2022-04-14,10:00:00,male user,Featured Charts,,,,,,album,
60,2022-04-14,10:00:00,male user,Featured Charts,,,,,,single,
61,2022-04-14,10:00:00,male user,Featured Charts,,,,,,playlist,
62,2022-04-14,10:00:00,male user,Featured Charts,,,,,,playlist,
63,2022-04-14,10:00:00,male user,Mood,Chill Hits,,,,,playlist,
64,2022-04-14,10:00:00,male user,Mood,Happy Tunes,,,,,playlist,
65,2022-04-14,10:00:00,male user,Mood,Peaceful Piano,,,,,playlist,
66,2022-04-14,10:00:00,male user,Mood,Life Sucks,,,,,playlist,
67,2022-04-14,10:00:00,male user,Mood,lofi beats,,,,,playlist,
68,2022-04-14,10:00:00,male user,Mood,Songs to Sing in the Shower,,,,,album,
69,2022-04-14,10:00:00,male user,Mood,Techno Bunker,,,,,album,
70,2022-04-14,10:00:00,male user,Mood,Broken Heart,,,,,playlist,
71,2022-04-14,10:00:00,male user,Mood,t Koffiehuis,,,,,playlist,
72,2022-04-14,10:00:00,male user,Workout,Top Hits Workout,,,,,playlist,
73,2022-04-14,10:00:00,male user,Workout,Beast Mode,,,,,playlist,
74,2022-04-14,10:00:00,male user,Workout,Motivation Mix,,,,,playlist,
75,2022-04-14,10:00:00,male user,Workout,Fun Run,,,,,playlist,
76,2022-04-14,10:00:00,male user,Workout,Power Hour,,,,,playlist,
77,2022-04-14,10:00:00,male user,Workout,Run this Town,,,,,playlist,
78,2022-04-14,10:00:00,male user,Workout,Power Workout,,,,,playlist,
79,2022-04-14,10:00:00,male user,Workout,Running x Remix,,,,,playlist,
80,2022-04-14,10:00:00,male user,Workout,Workout Hip-Hop,,,,,playlist,
81,2022-04-14,10:00:00,male user,Sing-along,Songs to Sing in the Shower,,,,,playlist,
82,2022-04-14,10:00:00,male user,Sing-along,Guilty Pleasures ,,,,,playlist,
83,2022-04-14,10:00:00,male user,Sing-along,Déjà Vu,,,,,playlist,
84,2022-04-14,10:00:00,male user,Sing-along,The '80s All Lined Up,,,,,playlist,
85,2022-04-14,10:00:00,male user,Sing-along,K-Club Party,,,,,playlist,
86,2022-04-14,10:00:00,male user,Sing-along,Sing-along 90s to Now,,,,,playlist,
87,2022-04-14,10:00:00,male user,Sing-along,Sing-Along Indie Hits,,,,,playlist,
88,2022-04-14,10:00:00,male user,Sing-along,Latin Pop Classics,,,,,playlist,
89,2022-04-14,10:00:00,male user,Sing-along,Karaoke Duets,,,,,playlist,
90,2022-04-14,10:00:00,male user,Todays biggest hits,Today’s Top Hits,,,,,playlist,
91,2022-04-14,10:00:00,male user,Todays biggest hits,Summer ’22,,,,,playlist,
92,2022-04-14,10:00:00,male user,Todays biggest hits,RapCaviar,,,,,playlist,
93,2022-04-14,10:00:00,male user,Todays biggest hits,Techno Bunker,,,,,playlist,
94,2022-04-14,10:00:00,male user,Todays biggest hits,Woordenschat,,,,,playlist,
95,2022-04-14,10:00:00,male user,Todays biggest hits,Beste van NL,,,,,playlist,
96,2022-04-14,10:00:00,male user,Todays biggest hits,Disney Hits,,,,,playlist,
97,2022-04-14,10:00:00,male user,Todays biggest hits,are & Be,,,,,playlist,
98,2022-04-14,10:00:00,male user,Todays biggest hits,Hardstyle Bangers,,,,,playlist,
99,2022-04-14,10:00:00,male user,Recommended for today,sentaDona (Remix),,,,,Single,Various Artists
100,2022-04-14,10:00:00,male user,Recommended for today,MONTERO,,,,,album,Lil Nas X
101,2022-04-14,10:00:00,male user,Recommended for today,F*CK LOVE 3: Over…,,,,,album,THE KID LAROI
102,2022-04-14,10:00:00,male user,Recommended for today,abcdefu,,,,,single,GAYLE
103,2022-04-14,10:00:00,male user,Recommended for today,LALISA,,,,,single,LISA
104,2022-04-14,10:00:00,male user,Recommended for today,she’s all i wanna be,,,,,single,Tate McRae
105,2022-04-14,10:00:00,male user,Recommended for today,I NEVER DIE,,,,,album,
106,2022-04-14,10:00:00,male user,Recommended for today,japanisches Zeichen,,,,,album,Yuuri
107,2022-04-14,10:00:00,male user,Recommended for today,LOVE DIVE,,,,,single,IVE
108,2022-04-14,10:00:00,male user,Recommended for today,Still Life,,,,,single,BIGBANG
109,2022-04-14,10:00:00,male user,Fresh new music,New Music Friday,,,,,playlist,
110,2022-04-14,10:00:00,male user,Fresh new music,Fresh Flows,,,,,playlist,
111,2022-04-14,10:00:00,male user,Fresh new music,Stay Tuned!,,,,,playlist,
112,2022-04-14,10:00:00,male user,Fresh new music,Classical New Releases,,,,,playlist,
113,2022-04-14,10:00:00,male user,Fresh new music,New Music Friday,,,,,playlist,
114,2022-04-14,10:00:00,male user,Fresh new music,State of Jazz,,,,,playlist,
115,2022-04-14,10:00:00,male user,Fresh new music,Je Moerstaal,,,,,playlist,
116,2022-04-14,10:00:00,male user,Fresh new music,Fresh Pop,,,,,playlist,
117,2022-04-14,10:00:00,male user,Fresh new music,Hot New Dance,,,,,playlist,
118,2022-04-14,10:00:00,male user,Fresh new music,Pop Rising,,,,,playlist,
119,2022-04-14,10:00:00,male user,Chill,Peaceful Piano,,,,,playlist,
120,2022-04-14,10:00:00,male user,Chill,lofi beats,,,,,playlist,
121,2022-04-14,10:00:00,male user,Chill,Feel Good Acoustic,,,,,playlist,
122,2022-04-14,10:00:00,male user,Chill,Chill Lofi Study beats,,,,,playlist,
123,2022-04-14,10:00:00,male user,Chill,Peaceful Meditation,,,,,playlist,
124,2022-04-14,10:00:00,male user,Chill,Soft Pop Hits,,,,,playlist,
125,2022-04-14,10:00:00,male user,Chill,Soft Rock,,,,,playlist,
126,2022-04-14,10:00:00,male user,Chill,Chillin’ On a Dirt Road,,,,,playlist,
127,2022-04-14,10:00:00,male user,Chill,Acoustic Favorites,,,,,playlist,
128,2022-04-14,10:00:00,male user,Instrumental,Maximum Concentration,,,,,playlist,
129,2022-04-14,10:00:00,male user,Instrumental,Instrumental Study,,,,,playlist,
130,2022-04-14,10:00:00,male user,Instrumental,Chill Lofi Study beats,,,,,playlist,
131,2022-04-14,10:00:00,male user,Instrumental,Peaceful Meditation,,,,,playlist,
132,2022-04-14,10:00:00,male user,Instrumental,Techno Bunker,,,,,playlist,
133,2022-04-14,10:00:00,male user,Instrumental,Sleep,,,,,playlist,
134,2022-04-14,10:00:00,male user,Instrumental,Intense Studying,,,,,playlist,
135,2022-04-14,10:00:00,male user,Instrumental,Reading Soundtrack,,,,,playlist,
136,2022-04-14,13:00:00,male user,Your top mixes,Taylor Swift Mix,,"Bon Iver, Halsey, Selena Gomez and more…",,,playlist,
137,2022-04-14,13:00:00,male user,Your top mixes,Bad Bunny Mix,,"Arcangel, Ozuna, Farruko and more",,,playlist,
138,2022-04-14,13:00:00,male user,Your top mixes,BTS Mix,,"TWICE, ATEEZ Stray Kids and more",,,playlist,
139,2022-04-14,13:00:00,male user,Your top mixes,2000s Mix,,"Eminem, Linkin Park, Earth, Wind & Fire and more",,,playlist,
140,2022-04-14,13:00:00,male user,Your top mixes,90s Mix,,"Ice Cube, Oasis, BLOF and more",,,playlist,
141,2022-04-14,13:00:00,male user,Your top mixes,Happy Mix,,"BTS, Taylor Swift and more",,,playlist,
142,2022-04-14,13:00:00,male user,Your top mixes,Moody Mix,,"Bad Bunny, Taylor Swift and more",,,playlist,
143,2022-04-14,13:00:00,male user,Your top mixes,Reggaeton Mix,,Bad Bunny and more,,,playlist,
144,2022-04-14,13:00:00,male user,Your top mixes,K-Pop Mix,,BTS and more,,,playlist,
145,2022-04-14,13:00:00,male user,Your top mixes,Pop Mix,,Taylor Swift and more,,,playlist,
146,2022-04-14,13:00:00,male user,Made For male name,Daily Mix 1,,"Bad Bunny, Ovi, Tainy and more",,,playlist,
147,2022-04-14,13:00:00,male user,Made For male name,Daily Mix 2,,"Taylor Swift, Maroon 5, Bridgit Mendler and more",,,playlist,
148,2022-04-14,13:00:00,male user,Made For male name,Daily Mix 3,,"BTS, Coldplay, Jackson Wang and more",,,playlist,
149,2022-04-14,13:00:00,male user,Made For male name,Daily Drive,,a mix of news and music made for you,,,playlist,
150,2022-04-14,13:00:00,male user,Recommended radio,Taylor Swift Radio,,,,,playlist,
151,2022-04-14,13:00:00,male user,Recommended radio,BTS Radio,,,,,playlist,
152,2022-04-14,13:00:00,male user,Recommended radio,Bad Bunny Radio,,,,,playlist,
153,2022-04-14,13:00:00,male user,More like Harry Styles,Harry Styles Radio,,,,,playlist,
154,2022-04-14,13:00:00,male user,More like Harry Styles,Julia Michaels,,,,,artist,
155,2022-04-14,13:00:00,male user,More like Harry Styles,Troye Sivan,,,,,artist,
156,2022-04-14,13:00:00,male user,More like Harry Styles,Lauv,,,,,artist,
157,2022-04-14,13:00:00,male user,More like Harry Styles,Hit Rewind,,,,,playlist,
158,2022-04-14,13:00:00,male user,More like Harry Styles,All Out 2010s,,,,,playlist,
159,2022-04-14,13:00:00,male user,More like Harry Styles,Best of the Decade for You,,,,,playlist,
160,2022-04-14,13:00:00,male user,More like Harry Styles,Made In The A.M.,,,,,album,One Direction
161,2022-04-14,13:00:00,male user,More like Harry Styles,Youngblood (Deluxe),,,,,album,5 Seconds of Summer
162,2022-04-14,13:00:00,male user,More like Harry Styles,Just Like You,,,,,single,Louis Tomlinsen
163,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Summer ’22,,,,,playlist,
164,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Beste van NL,,,,,playlist,
165,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Happy Tunes,,,,,playlist,
166,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Hot Hits,,,,,playlist,
167,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Alternative All Lined Up,,,,,playlist,
168,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Stay Tuned!,,,,,playlist,
169,2022-04-14,13:00:00,male user,Blijf op de hoogte!,t Koffiehuis,,,,,playlist,
170,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Je Moerstaal,,,,,playlist,
171,2022-04-14,13:00:00,male user,Blijf op de hoogte!,360 Dance,,,,,playlist,
172,2022-04-14,13:00:00,male user,Blijf op de hoogte!,Top Hits Workout,,,,,playlist,
173,2022-04-14,13:00:00,male user,Best of artists,This is Taylor Swift,,,,,playlist,
174,2022-04-14,13:00:00,male user,Best of artists,This is Bad Bunny,,,,,playlist,
175,2022-04-14,13:00:00,male user,Best of artists,This is BTS,,,,,playlist,
176,2022-04-14,13:00:00,male user,Discover something new,Platinum Hits,,,,,playlist,
177,2022-04-14,13:00:00,male user,Discover something new,Soft Pop Hits,,,,,playlist,
178,2022-04-14,13:00:00,male user,Discover something new,Fresh Pop,,,,,playlist,
179,2022-04-14,13:00:00,male user,Discover something new,Pop Rising,,,,,playlist,
180,2022-04-14,13:00:00,male user,Discover something new,SOUR,,,,,album,Olivia Rodrigo
181,2022-04-14,13:00:00,male user,Discover something new,Bach: Motets,,,,,album,Johann Sebastian Bach
182,2022-04-14,13:00:00,male user,Discover something new,Je Moerstaal,,,,,playlist,
183,2022-04-14,13:00:00,male user,Discover something new,De Hazes 100,,,,,album,Andre Hazes
184,2022-04-14,13:00:00,male user,Discover something new,Waar Dan Ook,,,,,single,Miss Montreal
185,2022-04-14,13:00:00,male user,Celebrating 5 years of American Teen,This is Khalid,,,,,playlist,
186,2022-04-14,13:00:00,male user,Celebrating 5 years of American Teen,Khalid,,,,,artist,
187,2022-04-14,13:00:00,male user,Celebrating 5 years of American Teen,All Out 2010s,,,,,playlist,
188,2022-04-14,13:00:00,male user,Celebrating 5 years of American Teen,American Teen,,,,,album,Khalid
189,2022-04-14,13:00:00,male user,Suggested artists,Antoon,,,,,artist,
190,2022-04-14,13:00:00,male user,Suggested artists,MEAU,,,,,artist,
191,2022-04-14,13:00:00,male user,Suggested artists,FLEMMING,,,,,artist,
192,2022-04-14,13:00:00,male user,Suggested artists,Bankzitters,,,,,artist,
193,2022-04-14,13:00:00,male user,Suggested artists,BENR,,,,,artist,
194,2022-04-14,13:00:00,male user,Suggested artists,Cristian D,,,,,artist,
195,2022-04-14,13:00:00,male user,Suggested artists,Fireboy DML,,,,,artist,
196,2022-04-14,13:00:00,male user,Suggested artists,Jan Biggel,,,,,artist,
197,2022-04-14,13:00:00,male user,Suggested artists,Belters Only,,,,,artist,
198,2022-04-14,13:00:00,male user,Suggested artists,S10,,,,,artist,
199,2022-04-14,13:00:00,male user,Your favorite artists,Taylor Swift,,,,,artist,
200,2022-04-14,13:00:00,male user,Your favorite artists,BTS,,,,,artist,
201,2022-04-14,13:00:00,male user,Your favorite artists,Bad Bunny,,,,,artist,
202,2022-04-14,13:00:00,male user,Throwback,All Out 2000s,,,,,playlist,
203,2022-04-14,13:00:00,male user,Throwback,Rock Classics,,,,,playlist,
204,2022-04-14,13:00:00,male user,Throwback,All Out 90s,,,,,playlist,
205,2022-04-14,13:00:00,male user,Throwback,All Out 80s,,,,,playlist,
206,2022-04-14,13:00:00,male user,Throwback,Hit Rewind,,,,,playlist,
207,2022-04-14,13:00:00,male user,Throwback,Top 2000,,npo,,,playlist,
208,2022-04-14,13:00:00,male user,Throwback,Trowback Party,,,,,playlist,
209,2022-04-14,13:00:00,male user,Throwback,Jazz Classics,,,,,playlist,
210,2022-04-14,13:00:00,male user,Throwback,Easy 80s,,,,,playlist,
211,2022-04-14,13:00:00,male user,Throwback,Summer Hits of the 10s,,,,,playlist,
212,2022-04-14,13:00:00,male user,Weeknd Vibes,This is The Weeknd,,,,,playlist,
213,2022-04-14,13:00:00,male user,Weeknd Vibes,Today’s Top Hits,,,,,playlist,
214,2022-04-14,13:00:00,male user,Weeknd Vibes,After Hours (Deluxe),,,,,album,The Weeknd
215,2022-04-14,13:00:00,male user,Weeknd Vibes,My Dear Melancholy,,,,,album,The Weeknd
216,2022-04-14,13:00:00,male user,Weeknd Vibes,Starboy,,,,,album,The Weeknd
217,2022-04-14,13:00:00,male user,Weeknd Vibes,Beauty Behind The…,,,,,album,The Weeknd
218,2022-04-14,13:00:00,male user,Weeknd Vibes,Trilogy,,,,,album,The Weeknd
219,2022-04-14,13:00:00,male user,Weeknd Vibes,Dawn FM,,,,,album,The Weeknd
220,2022-04-14,13:00:00,male user,Weeknd Vibes,Kiss Land,,,,,album,The Weeknd
221,2022-04-14,13:00:00,male user,Mood,Easy on Sunday,,,,,playlist,
222,2022-04-14,13:00:00,male user,Mood,Feeling Good Feeling Great,,,,,playlist,
223,2022-04-14,13:00:00,male user,Mood,t Koffiehuis,,,,,playlist,
224,2022-04-14,13:00:00,male user,Mood,Happy Tunes,,,,,playlist,
225,2022-04-14,13:00:00,male user,Mood,Feelin’ Myself,,,,,playlist,
226,2022-04-14,13:00:00,male user,Mood,You & Me,,,,,playlist,
227,2022-04-14,13:00:00,male user,Mood,Calm Before the Storm,,,,,playlist,
228,2022-04-14,13:00:00,male user,Chill,Chill Hits,,,,,playlist,
229,2022-04-14,13:00:00,male user,Chill,t Koffiehuis,,,,,playlist,
230,2022-04-14,13:00:00,male user,Chill,Peaceful Piano,,,,,playlist,
231,2022-04-14,13:00:00,male user,Chill,Deep House Relax,,,,,playlist,
232,2022-04-14,13:00:00,male user,Chill,Chill Mode: On,,,,,playlist,
233,2022-04-14,13:00:00,male user,Chill,lofi beats,,,,,playlist,
234,2022-04-14,13:00:00,male user,Chill,Jazz Vibes,,,,,playlist,
235,2022-04-14,13:00:00,male user,Chill,Easy 80s,,,,,playlist,
236,2022-04-14,13:00:00,male user,Chill,Chillout Lounge,,,,,playlist,
237,2022-04-14,13:00:00,male user,Chill,Coffee Table Jazz,,,,,playlist,
238,2022-04-14,13:00:00,male user,Happy,Happy Tunes,,,,,playlist,
239,2022-04-14,13:00:00,male user,Happy,Happy Beats,,,,,playlist,
240,2022-04-14,13:00:00,male user,Happy,Songs to Sing in the Shower,,,,,playlist,
241,2022-04-14,13:00:00,male user,Happy,Factor Happy,,,,,playlist,
242,2022-04-14,13:00:00,male user,Happy,Je Moerstaal,,,,,playlist,
243,2022-04-14,13:00:00,male user,Happy,Vibes,,,,,playlist,
244,2022-04-14,13:00:00,male user,Happy,Beautiful Day,,,,,playlist,
245,2022-04-14,13:00:00,male user,Happy,Pre-Party Mood,,,,,playlist,
246,2022-04-14,13:00:00,male user,Global cultures on the main stage,Desi Hits,,,,,playlist,
247,2022-04-14,13:00:00,male user,Global cultures on the main stage,Classic Afropop,,,,,playlist,
248,2022-04-14,13:00:00,male user,Global cultures on the main stage,Afropop,,,,,playlist,
249,2022-04-14,13:00:00,male user,Global cultures on the main stage,Baila Reggaeton,,,,,playlist,
250,2022-04-14,13:00:00,male user,Global cultures on the main stage,Viva Latino,,,,,playlist,
251,2022-04-14,13:00:00,male user,Global cultures on the main stage,Funk Hits,,,,,playlist,
252,2022-04-14,13:00:00,male user,Global cultures on the main stage,African Heat,,,,,playlist,
253,2022-04-14,13:00:00,male user,Global cultures on the main stage,Global X,,,,,playlist,
254,2022-04-14,13:00:00,male user,Global cultures on the main stage,Afro Hits,,,,,playlist,
255,2022-04-14,13:00:00,male user,Global cultures on the main stage,Ama Piano Grooves,,,,,playlist,
256,2022-04-14,13:00:00,male user,Sad Love,Broken Heart ,,,,,playlist,
257,2022-04-14,13:00:00,male user,Sad Love,Heartbreaker,,,,,playlist,
258,2022-04-14,13:00:00,male user,Sad Love, Alone Again,,,,,playlist,
259,2022-04-14,13:00:00,male user,Sad Love,Sad Songs,,,,,playlist,
260,2022-04-14,13:00:00,male user,Sad Love,Sad Bops,,,,,playlist,
261,2022-04-14,13:00:00,male user,Sad Love,Sad Covers,,,,,playlist,
262,2022-04-14,13:00:00,male user,Sad Love,text me back,,,,,playlist,
263,2022-04-14,13:00:00,male user,Sad Love,I miss You,,,,,playlist,
264,2022-04-14,16:00:00,male user,Your top mixes,Taylor Swift Mix,,"Bon Iver, Halsey, Selena Gomez and more…",,,playlist,
265,2022-04-14,16:00:00,male user,Your top mixes,Bad Bunny Mix,,"Arcangel, Ozuna, Farruko and more",,,playlist,
266,2022-04-14,16:00:00,male user,Your top mixes,BTS Mix,,"TWICE, ATEEZ Stray Kids and more",,,playlist,
267,2022-04-14,16:00:00,male user,Your top mixes,90s Mix,,"Ice Cube, Oasis, BLOF and more",,,playlist,
268,2022-04-14,16:00:00,male user,Your top mixes,2000s Mix,,"Eminem, Linkin Park, Earth, Wind & Fire and more",,,playlist,
269,2022-04-14,16:00:00,male user,Your top mixes,Happy Mix,,"BTS, Taylor Swift and more",,,playlist,
270,2022-04-14,16:00:00,male user,Your top mixes,Moody Mix,,"Bad Bunny, Taylor Swift and more",,,playlist,
271,2022-04-14,16:00:00,male user,Your top mixes,Reggaeton Mix,,Bad Bunny and more,,,playlist,
272,2022-04-14,16:00:00,male user,Your top mixes,K-Pop Mix,,BTS and more,,,playlist,
273,2022-04-14,16:00:00,male user,Your top mixes,Pop Mix,,Taylor Swift and more,,,playlist,
274,2022-04-14,16:00:00,male user,Made For male name,Daily Mix 1,,"Bad Bunny, Ovi, Tainy and more",,,playlist,
275,2022-04-14,16:00:00,male user,Made For male name,Daily Mix 2,,"Taylor Swift, Maroon 5, Bridgit Mendler and more",,,playlist,
276,2022-04-14,16:00:00,male user,Made For male name,Daily Mix 3,,"BTS, Coldplay, Jackson Wang and more",,,playlist,
277,2022-04-14,16:00:00,male user,Made For male name,Daily Drive,,a mix of news and music made for you,,,playlist,
278,2022-04-14,16:00:00,male user,Recommended radio,Taylor Swift Radio,,,,,playlist,
279,2022-04-14,16:00:00,male user,Recommended radio,BTS Radio,,,,,playlist,
280,2022-04-14,16:00:00,male user,Recommended radio,Bad Bunny Radio,,,,,playlist,
281,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Happy Tunes,,,,,playlist,
282,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Summer ’22,,,,,playlist,
283,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Beste van NL,,,,,playlist,
284,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Stay Tuned!,,,,,playlist,
285,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Je Moerstaal,,,,,playlist,
286,2022-04-14,16:00:00,male user,Blijf op de hoogte!,t Koffiehuis,,,,,playlist,
287,2022-04-14,16:00:00,male user,Blijf op de hoogte!,360 Dance,,,,,playlist,
288,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Top Hits Workout,,,,,playlist,
289,2022-04-14,16:00:00,male user,Blijf op de hoogte!,Made in NL,,,,,playlist,
290,2022-04-14,16:00:00,male user,More Like Queen,Queen Like Radio,,,,,playlist,
291,2022-04-14,16:00:00,male user,More Like Queen,The Police,,,,,artist,
292,2022-04-14,16:00:00,male user,More Like Queen,TOTO,,,,,artist,
293,2022-04-14,16:00:00,male user,More Like Queen,R.E.M,,,,,artist,
294,2022-04-14,16:00:00,male user,More Like Queen,Born To Run,,,,,playlist,
295,2022-04-14,16:00:00,male user,More Like Queen,Raised on Rock,,,,,playlist,
296,2022-04-14,16:00:00,male user,More Like Queen,Hotel California (201…,,,,,album,Eagles
297,2022-04-14,16:00:00,male user,More Like Queen,1984 (Remastered),,,,,album,Van Halen
298,2022-04-14,16:00:00,male user,More Like Queen,"Live Aid (Live, 13th J…",,,,,compilation,Various Artists
299,2022-04-14,16:00:00,male user,More Like Queen,On Screen Guitar,,,,,playlist,
300,2022-04-14,16:00:00,male user,More Like Harry Styles,Harry Styles Radio,,,,,playlist,
301,2022-04-14,16:00:00,male user,More Like Harry Styles,Julia Michaels,,,,,artist,
302,2022-04-14,16:00:00,male user,More Like Harry Styles,Troye Sivan,,,,,playlist,
303,2022-04-14,16:00:00,male user,More Like Harry Styles,Lauv,,,,,playlist,
304,2022-04-14,16:00:00,male user,More Like Harry Styles,Hit Rewind,,,,,playlist,
305,2022-04-14,16:00:00,male user,More Like Harry Styles,All Out 2010s,,,,,playlist,
306,2022-04-14,16:00:00,male user,More Like Harry Styles,Best of the Decade for you,,,,,playlist,
307,2022-04-14,16:00:00,male user,More Like Harry Styles,Made In The A.M (D…,,,,,album,One Direction
308,2022-04-14,16:00:00,male user,More Like Harry Styles,Youngblood (Deluxe),,,,,album,5 Seconds of Summer
309,2022-04-14,16:00:00,male user,More Like Harry Styles,Just Like You,,,,,single,Louis Tomlinson
310,2022-04-14,16:00:00,male user,Dutch language Pop,This is Racoon,,,,,playlist,
311,2022-04-14,16:00:00,male user,Dutch language Pop,This is Tabitha,,,,,playlist,
312,2022-04-14,16:00:00,male user,Dutch language Pop,This is Maan,,,,,playlist,
